instant_x,dteday,season_x,yr_x,mnth_x,hr,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,hr_formated,instant_y,season_y,yr_y,mnth_y,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y,temp_category
1,2011-01-01,Spring,2011,January,0,False,Saturday,False,Clear,9.84,14.395,81.0,0.0,3,13,16,00:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
2,2011-01-01,Spring,2011,January,1,False,Saturday,False,Clear,9.02,13.635,80.0,0.0,8,32,40,01:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
3,2011-01-01,Spring,2011,January,2,False,Saturday,False,Clear,9.02,13.635,80.0,0.0,5,27,32,02:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
4,2011-01-01,Spring,2011,January,3,False,Saturday,False,Clear,9.84,14.395,75.0,0.0,3,10,13,03:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
5,2011-01-01,Spring,2011,January,4,False,Saturday,False,Clear,9.84,14.395,75.0,0.0,0,1,1,04:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
6,2011-01-01,Spring,2011,January,5,False,Saturday,False,Mist/Cloudy,9.84,12.879999999999999,75.0,6.0032,0,1,1,05:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
7,2011-01-01,Spring,2011,January,6,False,Saturday,False,Clear,9.02,13.635,80.0,0.0,2,0,2,06:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
8,2011-01-01,Spring,2011,January,7,False,Saturday,False,Clear,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,07:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
9,2011-01-01,Spring,2011,January,8,False,Saturday,False,Clear,9.84,14.395,75.0,0.0,1,7,8,08:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
10,2011-01-01,Spring,2011,January,9,False,Saturday,False,Clear,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,09:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
11,2011-01-01,Spring,2011,January,10,False,Saturday,False,Clear,15.58,19.695,76.0,16.997899999999998,12,24,36,10:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
12,2011-01-01,Spring,2011,January,11,False,Saturday,False,Clear,14.76,16.665,81.0,19.0012,26,30,56,11:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
13,2011-01-01,Spring,2011,January,12,False,Saturday,False,Clear,17.22,21.21,77.0,19.0012,29,55,84,12:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
14,2011-01-01,Spring,2011,January,13,False,Saturday,False,Mist/Cloudy,18.86,22.725,72.0,19.999499999999998,47,47,94,13:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
15,2011-01-01,Spring,2011,January,14,False,Saturday,False,Mist/Cloudy,18.86,22.725,72.0,19.0012,35,71,106,14:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
16,2011-01-01,Spring,2011,January,15,False,Saturday,False,Mist/Cloudy,18.04,21.97,77.0,19.999499999999998,40,70,110,15:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
17,2011-01-01,Spring,2011,January,16,False,Saturday,False,Mist/Cloudy,17.22,21.21,82.0,19.999499999999998,41,52,93,16:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
18,2011-01-01,Spring,2011,January,17,False,Saturday,False,Mist/Cloudy,18.04,21.97,82.0,19.0012,15,52,67,17:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
19,2011-01-01,Spring,2011,January,18,False,Saturday,False,Light Rain/Snow,17.22,21.21,88.0,16.997899999999998,9,26,35,18:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
20,2011-01-01,Spring,2011,January,19,False,Saturday,False,Light Rain/Snow,17.22,21.21,88.0,16.997899999999998,6,31,37,19:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
21,2011-01-01,Spring,2011,January,20,False,Saturday,False,Mist/Cloudy,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,20:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
22,2011-01-01,Spring,2011,January,21,False,Saturday,False,Mist/Cloudy,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,21:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
23,2011-01-01,Spring,2011,January,22,False,Saturday,False,Mist/Cloudy,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,22:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
24,2011-01-01,Spring,2011,January,23,False,Saturday,False,Mist/Cloudy,18.86,22.725,88.0,19.999499999999998,15,24,39,23:00,1,Spring,2011,January,False,Saturday,False,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Sejuk
25,2011-01-02,Spring,2011,January,0,False,Sunday,False,Mist/Cloudy,18.86,22.725,88.0,19.999499999999998,4,13,17,00:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
26,2011-01-02,Spring,2011,January,1,False,Sunday,False,Mist/Cloudy,18.04,21.97,94.0,16.997899999999998,1,16,17,01:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
27,2011-01-02,Spring,2011,January,2,False,Sunday,False,Mist/Cloudy,17.22,21.21,100.0,19.0012,1,8,9,02:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
28,2011-01-02,Spring,2011,January,3,False,Sunday,False,Mist/Cloudy,18.86,22.725,94.0,12.998000000000001,2,4,6,03:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
29,2011-01-02,Spring,2011,January,4,False,Sunday,False,Mist/Cloudy,18.86,22.725,94.0,12.998000000000001,2,1,3,04:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
30,2011-01-02,Spring,2011,January,6,False,Sunday,False,Light Rain/Snow,17.22,21.21,77.0,19.999499999999998,0,2,2,06:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
31,2011-01-02,Spring,2011,January,7,False,Sunday,False,Mist/Cloudy,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,07:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
32,2011-01-02,Spring,2011,January,8,False,Sunday,False,Light Rain/Snow,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,08:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
33,2011-01-02,Spring,2011,January,9,False,Sunday,False,Mist/Cloudy,15.58,19.695,76.0,15.001299999999999,1,19,20,09:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
